unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown,
46326.75077525,,,,,,,,,,,-86.2734375000,-133.6985931396,228.3906860352,,,,,,,,,,,,,,
46326833.036375,-0.1563262939,-1.0452270508,-0.1576385498,,,,,,,,,,,,,,,,,,,,,,,,
46326851.8785417,,,,,-0.3882321616,0.2851963232,-0.2492553664,,,,,,,,,,,,,,,,,,,,
46326.8518125417,,,,,,,,,,,-85.9370880127,-133.6985931396,227.0827941895,,,,,,,,,,,,,,
46326938.2360417,-0.1700744629,-1.0806427002,-0.2038421631,,,,,,,,,,,,,,,,,,,,,,,,
46326952.941375,,,,,-0.5660056212,0.1513660869,-0.5318937234,,,,,,,,,,,,,,,,,,,,
46326.9528605833,,,,,,,,,,,-83.7508239746,-132.1850280762,226.2653656006,,,,,,,,,,,,,,
46327043.4371667,-0.0811920166,-1.0045471191,-0.3273315430,,,,,,,,,,,,,,,,,,,,,,,,
46327054.1084583,,,,,-0.9544180788,0.2305541166,-0.7800627865,,,,,,,,,,,,,,,,,,,,
46327.0538997917,,,,,,,,,,,-82.7417755127,-128.8215484619,227.5732574463,,,,,,,,,,,,,,
46327148.6469583,0.0138092041,-0.9299163818,-0.3485717773,,,,,,,,,,,,,,,,,,,,,,,,
46327155.0194583,,,,,-1.0006763880,0.3098438791,-0.8459310160,,,,,,,,,,,,,,,,,,,,
46327.1549429167,,,,,,,,,,,-79.5464630127,-127.6443176270,225.1209564209,,,,,,,,,,,,,,
46327253.1221667,0.1301269531,-0.8406829834,-0.6166381836,,,,,,,,,,,,,,,,,,,,,,,,
46327255.98075,,,,,-1.2178635665,0.1556641626,-1.0633365737,,,,,,,,,,,,,,,,,,,,
46327.2558964167,,,,,,,,,,,-80.5555114746,-122.5990905762,224.4670104980,,,,,,,,,,,,,,
1451522721999.89,,,,,,,,,,,,,,52.49310158198,13.3853586483871,197.578125,0.0,36.767578125,10.0,3.0,,,,,,,
46327357.0682917,,,,,0.6056323930,-0.4911614735,0.1721997298,,,,,,,,,,,,,,,,,,,,
46327357.3107917,0.0502471924,-0.7909393311,-0.6270751953,,,,,,,,,,,,,,,,,,,,,,,,
46327.356961375,,,,,,,,,,,-84.9280395508,-121.9263916016,223.8130645752,,,,,,,,,,,,,,
46327458.1887083,,,,,0.6181484511,-0.1323508504,0.1439278780,,,,,,,,,,,,,,,,,,,,
46327461.795,-0.0379333496,-0.8913116455,-0.5278930664,,,,,,,,,,,,,,,,,,,,,,,,
46327.457997,,,,,,,,,,,-89.4687500000,-120.7491760254,224.6304931641,,,,,,,,,,,,,,
46327559.166375,,,,,0.4482321157,-0.5875335502,0.3539365057,,,,,,,,,,,,,,,,,,,,
46327567.0049583,0.0891418457,-0.8180084229,-0.7575683594,,,,,,,,,,,,,,,,,,,,,,,,
46327.5590515,,,,,,,,,,,-91.3186645508,-119.2356109619,226.4288482666,,,,,,,,,,,,,,
46327660.1655833,,,,,0.1540992891,-0.0350147094,0.2827017402,,,,,,,,,,,,,,,,,,,,
46327.6600941667,,,,,,,,,,,-91.8231964111,-120.0764770508,226.5923309326,,,,,,,,,,,,,,
46327671.6174167,0.0295867920,-0.9167175293,-0.5116729736,,,,,,,,,,,,,,,,,,,,,,,,
46327761.342625,,,,,-0.1024289039,0.3769400923,-0.2013043521,,,,,,,,,,,,,,,,,,,,
46327.7611357083,,,,,,,,,,,-94.1776275635,-121.0855255127,227.9002227783,,,,,,,,,,,,,,
46327776.868375,0.1068572998,-0.8545379639,-0.5026702881,,,,,,,,,,,,,,,,,,,,,,,,
46327862.249625,,,,,0.0935738933,-0.0397828330,-0.1270476977,,,,,,,,,,,,,,,,,,,,
46327.8621775,,,,,,,,,,,-92.8322296143,-122.7672729492,226.9193115234,,,,,,,,,,,,,,
