unix_time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,rot_x,rot_y,rot_z,mag_x,mag_y,mag_z,lat,lng,bearing,speed,alt,err_lat,err_lng,pressure,station,run,walk,auto,cycling,unknown
162062.753681,,,,,,,,,,,-64.4107818604,-18.6673583984,368.3351745605,,,,,,,,,,,,,,
162062841.404417,-0.3722381592,-0.6107788086,-0.5974578857,,,,,,,,,,,,,,,,,,,,,,,,
162062858.319875,,,,,-1.2201791851,3.0428623478,-1.2144243603,,,,,,,,,,,,,,,,,,,,
162062.854811375,,,,,,,,,,,-62.7290344238,-14.2948303223,372.2588500977,,,,,,,,,,,,,,
1451923537915.15,,,,,,,,,,,,,,52.3942817096155,13.1322473846498,225.3515625,1.01999998092651,35.1069946289062,10.0,8.0,,,,,,,
1451923537992.42,,,,,,,,,,,,,,52.39427785394,13.1322410144034,-1.0,1.01999998092651,35.2848510742188,10.0,8.0,,,,,,,
162062946.70775,1.3290252686,-0.1306610107,-1.2914733887,,,,,,,,,,,,,,,,,,,,,,,,
162062959.356958,,,,,0.5982146904,0.8315781756,-1.3281250935,,,,,,,,,,,,,,,,,,,,
162062.95585175,,,,,,,,,,,-57.8519744873,-2.0180969238,386.1552124023,,,,,,,,,,,,,,
162063051.91,0.7037811279,-0.2915344238,-0.6788787842,,,,,,,,,,,,,,,,,,,,,,,,
162063060.396708,,,,,0.6361338433,-0.5124505170,0.5431168169,,,,,,,,,,,,,,,,,,,,
162063.056892833,,,,,,,,,,,-54.1521453857,-3.0271453857,383.5394287109,,,,,,,,,,,,,,
162063157.141167,0.7277526855,-0.3272399902,-0.8378906250,,,,,,,,,,,,,,,,,,,,,,,,
162063161.43475,,,,,-0.1376915536,-1.1735549575,0.3371175782,,,,,,,,,,,,,,,,,,,,
162063.15721975,,,,,,,,,,,-55.3293609619,-4.8770599365,380.4331665039,,,,,,,,,,,,,,
162063262.411333,,,,,0.2623954033,0.1452051300,0.6390601247,,,,,,,,,,,,,,,,,,,,
162063262.340833,0.2578735352,-0.4525146484,-0.7610168457,,,,,,,,,,,,,,,,,,,,,,,,
162063.258262292,,,,,,,,,,,-54.1521453857,-6.3906250000,378.3078613281,,,,,,,,,,,,,,
162063363.445167,,,,,0.0556270436,0.2752246492,-0.0380275435,,,,,,,,,,,,,,,,,,,,
162063367.296,0.4976196289,-0.4034271240,-0.7807464600,,,,,,,,,,,,,,,,,,,,,,,,
162063.359413833,,,,,,,,,,,-53.8157958984,-7.7360229492,377.9808959961,,,,,,,,,,,,,,
162063464.533667,,,,,0.0545495286,-0.0941778983,0.1887262422,,,,,,,,,,,,,,,,,,,,
162063.4604555,,,,,,,,,,,-54.8248443604,-8.0723724365,378.3078613281,,,,,,,,,,,,,,
162063472.565,0.4167633057,-0.4481658936,-0.8139190674,,,,,,,,,,,,,,,,,,,,,,,,
162063565.555583,,,,,-0.0046815709,0.1887717823,-0.0672504102,,,,,,,,,,,,,,,,,,,,
162063.561480333,,,,,,,,,,,-52.8067474365,-7.3996734619,378.6348266602,,,,,,,,,,,,,,
162063578.003875,0.4340057373,-0.4461364746,-0.7908325195,,,,,,,,,,,,,,,,,,,,,,,,
162063666.587917,,,,,-0.0241679206,-0.0559468892,0.0296668156,,,,,,,,,,,,,,,,,,,,
